title,overview,genres,language
Goodachari,"A spy thriller involving national secrets",["action","thriller"],telugu
Agent Sai Srinivasa Athreya,"A detective solves unique cases",["comedy","mystery"],telugu
Ninnu Kori,"A romantic emotional story",["romance","drama"],telugu
Pelli Choopulu,"A light-hearted love story",["romance","comedy"],telugu
RX 100,"An intense love story",["romance","drama"],telugu
Colour Photo,"A tragic love story",["romance","drama"],telugu
Mahanati,"A biographical emotional drama",["drama"],telugu
C/o Kancharapalem,"Multiple love stories in a town",["drama","romance"],telugu
Middle Class Melodies,"A simple life story",["comedy","drama"],telugu
Brochevarevarura,"A crime comedy thriller",["crime","comedy"],telugu
Mathu Vadalara,"A crime comedy story",["crime","comedy"],telugu
HIT,"A crime investigation thriller",["thriller","crime"],telugu
HIT 2,"A sequel crime thriller",["thriller","crime"],telugu
Agent,"A spy action thriller",["action","thriller"],telugu
iSmart Shankar,"A mass action entertainer",["action"],telugu
Sarileru Neekevvaru,"A military action drama",["action","comedy"],telugu
Bheeshma,"A romantic comedy entertainer",["romance","comedy"],telugu
Varudu Kaavalenu,"A modern love story",["romance","comedy"],telugu
Sita Ramam,"A beautiful love story",["romance","drama"],telugu
Ante Sundaraniki,"A quirky romantic comedy",["romance","comedy"],telugu
Jathi Ratnalu,"A hilarious comedy film",["comedy"],telugu
F2,"A fun family comedy",["comedy"],telugu
Bruce Lee,"An action packed entertainer",["action"],telugu
Racha,"A mass action entertainer",["action","drama"],telugu
Saripodhaa Sanivaaram,"An intense action drama",["action","drama"],telugu
Eega,"A fantasy revenge story",["fantasy","action"],telugu
Pushpa,"A man rises in smuggling world",["action","crime"],telugu
Happy Days,"A college friendship story",["drama","comedy"],telugu
Hushaaru,"A youth comedy drama",["comedy","drama"],telugu
Drushyam,"A man protects his family",["thriller","drama"],telugu
RX 100,"An intense love story",["romance","drama"],telugu
Colour Photo,"A tragic love story",["romance","drama"],telugu
Ambajipeta Marriage Band,"A rural emotional drama",["drama"],telugu
3,"A romantic emotional story",["romance","drama"],telugu
Majili,"A failed cricketer's life journey",["drama","romance"],telugu
Kanam,"A time travel emotional drama",["drama","fantasy"],telugu
Love Story,"A romantic drama",["romance","drama"],telugu
HIT,"A crime investigation thriller",["thriller","crime"],telugu
Kishkindha Puri,"A thriller drama",["thriller"],telugu
Evaru,"A crime thriller mystery",["thriller","crime"],telugu
Highway,"A psychological thriller",["thriller"],telugu
Hotspot,"A suspense thriller",["thriller"],telugu
Game Over,"A psychological thriller",["thriller","horror"],telugu
Bhaagamathie,"A horror thriller",["horror","thriller"],telugu
Saaho,"A big action thriller",["action","thriller"],telugu
Goodachari,"A spy thriller",["action","thriller"],telugu
Major,"A biographical action drama",["action","drama"],telugu
Temper,"A corrupt cop story",["action","drama"],telugu
Amaran,"A military action drama",["action","war"],telugu
OG,"A gangster action drama",["action","crime"],telugu
Raja Saab,"A commercial entertainer",["comedy","drama"],telugu
Tantra,"A horror mystery",["horror"],telugu
Tanitram,"A psychological thriller",["thriller"],telugu
Eesha,"An emotional drama",["drama"],telugu
Gruham,"A horror thriller",["horror"],telugu
Pindam,"A horror story",["horror"],telugu
Ezra,"A horror thriller",["horror"],telugu
Chitram Kaadu Nijam,"A mystery thriller",["thriller"],telugu
U Turn,"A suspense thriller",["thriller"],telugu
Dhoota,"A mystery thriller",["thriller"],telugu
Pisachi,"A horror thriller",["horror"],telugu
Maya,"A horror suspense film",["horror","thriller"],telugu
Nuvvu Naaku Nachav,"A fun romantic entertainer",["comedy","romance"],telugu
Manmadhudu,"A romantic comedy story",["comedy","romance"],telugu
F2 Fun and Frustration,"A hilarious family comedy",["comedy"],telugu
Venky,"A comedy entertainer",["comedy"],telugu
Ready,"A romantic comedy entertainer",["comedy","romance"],telugu
DJ Duvvada Jagannadham,"A commercial entertainer",["action","comedy"],telugu
Kick,"A fun action comedy",["action","comedy"],telugu
Dookudu,"An action comedy film",["action","comedy"],telugu
Jersey,"An emotional sports drama",["drama"],telugu
Vedam,"Multiple emotional stories",["drama"],telugu
Seethamma Vakitlo Sirimalle Chettu,"A family emotional drama",["drama"],telugu
Oopiri,"A heart touching story",["drama"],telugu
A Aa,"A family romantic drama",["romance","drama"],telugu
Ratsasan,"A serial killer thriller",["crime","thriller"],telugu
Agent Sai Srinivasa Athreya,"A detective thriller",["crime","comedy"],telugu
Arundhati,"A classic horror fantasy",["horror"],telugu
Avunu,"A supernatural horror film",["horror"],telugu
Avunu 2,"A horror sequel",["horror"],telugu
Demonte Colony,"A horror mystery",["horror"],telugu
The House Next Door,"A horror thriller",["horror"],hindi
1920,"A horror film",["horror"],hindi
1920 London,"A horror sequel",["horror"],hindi
Ragini MMS 2,"A horror film",["horror"],hindi
Vikram Vedha,"A crime thriller",["crime","thriller"],hindi
Kal Ho Naa Ho,"An emotional love story",["drama","romance"],hindi
Drishyam 2,"A crime thriller sequel",["crime","thriller"],hindi
Talvar,"A crime investigation story",["crime","thriller"],hindi
Ugly,"A dark thriller",["crime","thriller"],hindi
Anand,"A deeply emotional story",["drama"],hindi
Masaan,"A tragic emotional story",["drama"],hindi
October,"A slow emotional drama",["drama"],hindi
My Name Is Khan,"An emotional journey",["drama"],hindi
Jaane Tu Ya Jaane Na,"A youthful love story",["romance","comedy"],hindi
Dil Chahta Hai,"A friendship comedy drama",["comedy","drama"],hindi
Hum Tum,"A romantic comedy",["romance","comedy"],hindi
Band Baaja Baaraat,"A fun love story",["romance","comedy"],hindi
Main Hoon Na,"A light hearted entertainer",["comedy","action"],hindi
Chennai Express,"A fun action comedy",["comedy","action"],hindi
Raat,"A classic horror film",["horror"],hindi
Raaz,"A supernatural horror story",["horror","romance"],hindi
Farzi,"A crime thriller series",["crime","thriller"],hindi
Mirzapur,"A crime action series",["crime","action"],hindi
Khauf,"A suspense thriller",["thriller"],hindi
Dahaad,"A crime investigation thriller",["crime","thriller"],hindi
Mumbai Diaries,"A medical drama thriller",["drama","thriller"],hindi
13B,"A psychological horror story",["horror","thriller"],hindi
Stree,"A horror comedy",["horror","comedy"],hindi
Shaitaan,"A dark thriller",["thriller"],hindi
Thama,"A suspense thriller",["thriller"],hindi
Tumbbad,"A mythological horror story",["horror","fantasy"],hindi
Pari,"A dark horror film",["horror"],hindi
Bhoot,"A horror film",["horror"],hindi
Ghost Stories,"A horror anthology",["horror"],hindi
Ragini MMS,"A horror thriller",["horror","thriller"],hindi
Chupke Chupke,"A classic comedy of confusion",["comedy"],hindi
Hera Pheri,"A cult comedy film",["comedy"],hindi
Phir Hera Pheri,"A sequel comedy chaos",["comedy"],hindi
Bhool Bhulaiyaa,"A horror comedy",["horror","comedy"],hindi
Bhool Bhulaiyaa 2,"A modern horror comedy",["horror","comedy"],hindi
Munna Bhai MBBS,"A heartwarming comedy drama",["comedy","drama"],hindi
Lage Raho Munna Bhai,"A social comedy drama",["comedy","drama"],hindi
Taare Zameen Par,"An emotional story of a child",["drama"],hindi
Black,"A powerful emotional drama",["drama"],hindi
Kal Ho Naa Ho,"A love and life story",["romance","drama"],hindi
Veer Zaara,"A cross-border love story",["romance","drama"],hindi
Kabhi Khushi Kabhie Gham,"A family drama",["drama","romance"],hindi
Dil Chahta Hai,"A friendship story",["drama","comedy"],hindi
Wake Up Sid,"A coming of age story",["drama"],hindi
Yeh Saali Zindagi,"A crime drama",["crime","drama"],hindi
Badlapur,"A revenge thriller",["crime","thriller"],hindi
Kahaani,"A mystery thriller",["thriller","crime"],hindi
Talaash,"A psychological thriller",["thriller"],hindi
Don,"An action crime thriller",["action","crime"],hindi
Don 2,"A sequel action thriller",["action","crime"],hindi
Chhichhore,"A story about friendship and life lessons",["comedy","drama"],hindi
Padmaavat,"A historical epic about honor and sacrifice",["drama","history"],hindi
Dangal,"A father trains his daughters in wrestling",["drama","sport"],hindi
Yeh Jawaani Hai Deewani,"A journey of love friendship and self discovery",["romance","drama"],hindi
Chennai Express,"A romantic action comedy journey",["comedy","romance"],hindi
War,"An intense action packed spy thriller",["action","thriller"],hindi
Ra One,"A superhero science fiction film",["action","sci-fi"],hindi
Saitaan,"A dark psychological thriller",["thriller","crime"],hindi
Stree,"A horror comedy set in a small town",["horror","comedy"],hindi
Housefull,"A chaotic comedy entertainer",["comedy"],hindi
Farzi,"A crime thriller about fake currency",["crime","thriller"],hindi
Laapataa Ladies,"A social comedy drama",["comedy","drama"],hindi
Crew,"A comedy drama about airline staff",["comedy","drama"],hindi
PK,"A satirical take on society and religion",["comedy","drama"],hindi
Esha,"An emotional dramatic story",["drama"],hindi
Dhurandhar,"An action packed entertainer",["action"],hindi
3 Idiots,"Three friends navigate college life",["comedy","drama"],hindi
Kabir Singh,"A troubled doctor deals with heartbreak",["romance","drama"],hindi
Queen,"A woman goes on a solo journey",["comedy","drama"],hindi
Zindagi Na Milegi Dobara,"A road trip that changes lives",["adventure","drama"],hindi
Barfi,"A deaf man finds love and happiness",["romance","comedy"],hindi
Tamasha,"A man rediscovers his true self",["romance","drama"],hindi
Rockstar,"A musician struggles with love and fame",["music","romance"],hindi
Bajrangi Bhaijaan,"A man helps a lost girl return home",["drama","adventure"],hindi
Sultan,"A wrestler's journey of redemption",["drama","sport"],hindi
Gully Boy,"A rapper rises from the streets",["drama","music"],hindi
Andhadhun,"A blind pianist gets involved in crime",["thriller","crime"],hindi
Drishyam,"A man protects his family from the law",["thriller","drama"],hindi
Special 26,"A heist based on real events",["crime","thriller"],hindi
Article 15,"A cop investigates social crimes",["crime","drama"],hindi
Shershaah,"A war hero's life story",["war","drama"],hindi
Uri,"A military strike mission story",["war","action"],hindi
Raazi,"A spy thriller based on true events",["thriller","drama"],hindi
Badhaai Ho,"A family deals with unexpected news",["comedy","drama"],hindi
Dream Girl,"A man pretends to be a woman on calls",["comedy"],hindi
Piku,"A story of a father daughter relationship",["comedy","drama"],hindi
